K Thermocouple Lookup Table		
Deg. C	mV	uV
562	23.28800	23288
563	23.33100	23331
564	23.37300	23373
565	23.41600	23416
566	23.45800	23458
567	23.50100	23501
568	23.54400	23544
569	23.58600	23586
570	23.62900	23629
571	23.67100	23671
572	23.71400	23714
573	23.75700	23757
574	23.79900	23799
575	23.84200	23842
576	23.88400	23884
577	23.92700	23927
578	23.97000	23970
579	24.01200	24012
580	24.05500	24055
581	24.09700	24097
582	24.14000	24140
583	24.18200	24182
584	24.22500	24225
585	24.26700	24267
586	24.31000	24310
587	24.35300	24353
588	24.39500	24395
589	24.43800	24438
590	24.48000	24480
591	24.52300	24523
592	24.56500	24565
593	24.60800	24608
594	24.65000	24650
595	24.69300	24693
596	24.73500	24735
597	24.77800	24778
598	24.82000	24820
599	24.86300	24863
600	24.90500	24905
601	24.94800	24948
602	24.99000	24990
603	25.03300	25033
604	25.07500	25075
605	25.11800	25118
606	25.16000	25160
607	25.20300	25203
608	25.24500	25245
609	25.28800	25288
610	25.33000	25330
611	25.37300	25373
612	25.41500	25415
613	25.45800	25458
614	25.50000	25500
615	25.54300	25543
616	25.58500	25585
617	25.62700	25627
618	25.67000	25670
619	25.71200	25712
620	25.75500	25755
621	25.79700	25797
622	25.84000	25840
623	25.88200	25882
624	25.92400	25924
625	25.96700	25967
626	26.00900	26009
627	26.05200	26052
628	26.09400	26094
629	26.13600	26136
630	26.17900	26179
631	26.22100	26221
632	26.26300	26263
633	26.30600	26306
634	26.34800	26348
635	26.39000	26390
636	26.43300	26433
637	26.47500	26475
638	26.51700	26517
639	26.56000	26560
640	26.60200	26602
641	26.64400	26644
642	26.68700	26687
643	26.72900	26729
644	26.77100	26771
645	26.81400	26814
646	26.85600	26856
647	26.89800	26898
648	26.94000	26940
649	26.98300	26983
650	27.02500	27025
651	27.06700	27067
652	27.10900	27109
653	27.15200	27152
654	27.19400	27194
655	27.23600	27236
656	27.27800	27278
657	27.32000	27320
658	27.36300	27363
659	27.40500	27405
660	27.44700	27447
661	27.48900	27489
662	27.53100	27531
663	27.57400	27574
664	27.61600	27616
665	27.65800	27658
666	27.70000	27700
667	27.74200	27742
668	27.78400	27784
669	27.82600	27826
670	27.86900	27869
671	27.91100	27911
672	27.95300	27953
673	27.99500	27995
674	28.03700	28037
675	28.07900	28079
676	28.12100	28121
677	28.16300	28163
678	28.20500	28205
679	28.24700	28247
680	28.28900	28289
681	28.33200	28332
682	28.37400	28374
683	28.41600	28416
684	28.45800	28458
685	28.50000	28500
686	28.54200	28542
687	28.58400	28584
688	28.62600	28626
689	28.66800	28668
690	28.71000	28710
691	28.75200	28752
692	28.79400	28794
693	28.83500	28835
694	28.87700	28877
695	28.91900	28919
696	28.96100	28961
697	29.00300	29003
698	29.04500	29045
699	29.08700	29087
700	29.12900	29129
701	29.17100	29171
702	29.21300	29213
703	29.25500	29255
704	29.29700	29297
705	29.33800	29338
706	29.38000	29380
707	29.42200	29422
708	29.46400	29464
709	29.50600	29506
710	29.54800	29548
711	29.58900	29589
712	29.63100	29631
713	29.67300	29673
714	29.71500	29715
715	29.75700	29757
716	29.79800	29798
717	29.84000	29840
718	29.88200	29882
719	29.92400	29924
720	29.96500	29965
721	30.00700	30007
722	30.04900	30049
723	30.09000	30090
724	30.13200	30132
725	30.17400	30174
726	30.21600	30216
727	30.25700	30257
728	30.29900	30299
729	30.34100	30341
730	30.38200	30382
731	30.42400	30424
732	30.46600	30466
733	30.50700	30507
734	30.54900	30549
735	30.59000	30590
736	30.63200	30632
737	30.67400	30674
738	30.71500	30715
739	30.75700	30757
740	30.79800	30798
741	30.84000	30840
742	30.88100	30881
743	30.92300	30923
744	30.96400	30964
745	31.00600	31006
746	31.04700	31047
747	31.08900	31089
748	31.13000	31130
749	31.17200	31172
750	31.21300	31213
751	31.25500	31255
752	31.29600	31296
753	31.33800	31338
754	31.37900	31379
755	31.42100	31421
756	31.46200	31462
757	31.50400	31504
758	31.54500	31545
759	31.58600	31586
760	31.62800	31628
761	31.66900	31669
762	31.71000	31710
763	31.75200	31752
764	31.79300	31793
765	31.83400	31834
766	31.87600	31876
767	31.91700	31917
768	31.95800	31958
769	32.00000	32000
770	32.04100	32041
771	32.08200	32082
772	32.12400	32124
773	32.16500	32165
774	32.20600	32206
775	32.24700	32247
776	32.28900	32289
777	32.33000	32330
778	32.37100	32371
779	32.41200	32412
780	32.45300	32453
781	32.49500	32495
782	32.53600	32536
783	32.57700	32577
784	32.61800	32618
785	32.65900	32659
786	32.70000	32700
787	32.74200	32742
788	32.78300	32783
789	32.82400	32824
790	32.86500	32865
791	32.90600	32906
792	32.94700	32947
793	32.98800	32988
794	33.02900	33029
795	33.07000	33070
796	33.11100	33111
797	33.15200	33152
798	33.19300	33193
799	33.23400	33234
800	33.27500	33275
801	33.31600	33316
802	33.35700	33357
803	33.39800	33398
804	33.43900	33439
805	33.48000	33480
806	33.52100	33521
807	33.56200	33562
808	33.60300	33603
809	33.64400	33644
810	33.68500	33685
811	33.72600	33726
812	33.76700	33767
813	33.80800	33808
814	33.84800	33848
815	33.88900	33889
816	33.93000	33930
817	33.97100	33971
818	34.01200	34012
819	34.05300	34053
820	34.09300	34093
821	34.13400	34134
822	34.17500	34175
823	34.21600	34216
824	34.25700	34257
825	34.29700	34297
826	34.33800	34338
827	34.37900	34379
828	34.42000	34420
829	34.46000	34460
830	34.50100	34501
831	34.54200	34542
832	34.58200	34582
833	34.62300	34623
834	34.66400	34664
835	34.70400	34704
836	34.74500	34745
837	34.78600	34786
838	34.82600	34826
839	34.86700	34867
840	34.90800	34908
841	34.94800	34948
842	34.98900	34989
843	35.02900	35029
844	35.07000	35070
845	35.11000	35110
846	35.15100	35151
847	35.19200	35192
848	35.23200	35232
849	35.27300	35273
850	35.31300	35313
851	35.35400	35354
852	35.39400	35394
853	35.43500	35435
854	35.47500	35475
855	35.51600	35516
856	35.55600	35556
857	35.59600	35596
858	35.63700	35637
859	35.67700	35677
860	35.71800	35718
861	35.75800	35758
862	35.79800	35798
863	35.83900	35839
864	35.87900	35879
865	35.92000	35920
866	35.96000	35960
867	36.00000	36000
868	36.04100	36041
869	36.08100	36081
870	36.12100	36121
871	36.16200	36162
872	36.20200	36202
873	36.24200	36242
874	36.28200	36282
875	36.32300	36323
876	36.36300	36363
877	36.40300	36403
878	36.44300	36443
879	36.48400	36484
880	36.52400	36524
881	36.56400	36564
882	36.60400	36604
883	36.64400	36644
884	36.68500	36685
885	36.72500	36725
886	36.76500	36765
887	36.80500	36805
888	36.84500	36845
889	36.88500	36885
890	36.92500	36925
891	36.96500	36965
892	37.00600	37006
893	37.04600	37046
894	37.08600	37086
895	37.12600	37126
896	37.16600	37166
897	37.20600	37206
898	37.24600	37246
899	37.28600	37286
900	37.32600	37326
901	37.36600	37366
902	37.40600	37406
903	37.44600	37446
904	37.48600	37486
905	37.52600	37526
906	37.56600	37566
907	37.60600	37606
908	37.64600	37646
909	37.68600	37686
910	37.72500	37725
911	37.76500	37765
912	37.80500	37805
913	37.84500	37845
914	37.88500	37885
915	37.92500	37925
916	37.96500	37965
917	38.00500	38005
918	38.04400	38044
919	38.08400	38084
920	38.12400	38124
921	38.16400	38164
922	38.20400	38204
923	38.24300	38243
924	38.28300	38283
925	38.32300	38323
926	38.36300	38363
927	38.40200	38402
928	38.44200	38442
929	38.48200	38482
930	38.52200	38522
931	38.56100	38561
932	38.60100	38601
933	38.64100	38641
934	38.68000	38680
935	38.72000	38720
936	38.76000	38760
937	38.79900	38799
938	38.83900	38839
939	38.87800	38878
940	38.91800	38918
941	38.95800	38958
942	38.99700	38997
943	39.03700	39037
944	39.07600	39076
945	39.11600	39116
946	39.15500	39155
947	39.19500	39195
948	39.23500	39235
949	39.27400	39274
950	39.31400	39314
951	39.35300	39353
952	39.39300	39393
953	39.43200	39432
954	39.47100	39471
955	39.51100	39511
956	39.55000	39550
957	39.59000	39590
958	39.62900	39629
959	39.66900	39669
960	39.70800	39708
961	39.74700	39747
962	39.78700	39787
963	39.82600	39826
964	39.86600	39866
965	39.90500	39905
966	39.94400	39944
967	39.98400	39984
968	40.02300	40023
969	40.06200	40062
970	40.10100	40101
971	40.14100	40141
972	40.18000	40180
973	40.21900	40219
974	40.25900	40259
975	40.29800	40298
976	40.33700	40337
977	40.37600	40376
978	40.41500	40415
979	40.45500	40455
980	40.49400	40494
981	40.53300	40533
982	40.57200	40572
983	40.61100	40611
984	40.65100	40651
985	40.69000	40690
986	40.72900	40729
987	40.76800	40768
988	40.80700	40807
989	40.84600	40846
990	40.88500	40885
991	40.92400	40924
992	40.96300	40963
993	41.00200	41002
994	41.04200	41042
995	41.08100	41081
996	41.12000	41120
997	41.15900	41159
998	41.19800	41198
999	41.23700	41237
1000	41.27600	41276
1001	41.31500	41315
1002	41.35400	41354
1003	41.39300	41393
1004	41.43100	41431
1005	41.47000	41470
1006	41.50900	41509
1007	41.54800	41548
1008	41.58700	41587
1009	41.62600	41626
1010	41.66500	41665
1011	41.70400	41704
1012	41.74300	41743
1013	41.78100	41781
1014	41.82000	41820
1015	41.85900	41859
1016	41.89800	41898
1017	41.93700	41937
1018	41.97600	41976
1019	42.01400	42014
1020	42.05300	42053
1021	42.09200	42092
1022	42.13100	42131
1023	42.16900	42169
1024	42.20800	42208
1025	42.24700	42247
1026	42.28600	42286
1027	42.32400	42324
1028	42.36300	42363
1029	42.40200	42402
1030	42.44000	42440
1031	42.47900	42479
1032	42.51800	42518
1033	42.55600	42556
1034	42.59500	42595
1035	42.63300	42633
1036	42.67200	42672
1037	42.71100	42711
1038	42.74900	42749
1039	42.78800	42788
1040	42.82600	42826
1041	42.86500	42865
1042	42.90300	42903
1043	42.94200	42942
1044	42.98000	42980
1045	43.01900	43019
1046	43.05700	43057
1047	43.09600	43096
1048	43.13400	43134
1049	43.17300	43173
1050	43.21100	43211
1051	43.25000	43250
1052	43.28800	43288
1053	43.32700	43327
1054	43.36500	43365
1055	43.40300	43403
1056	43.44200	43442
1057	43.48000	43480
1058	43.51800	43518
1059	43.55700	43557
1060	43.59500	43595
1061	43.63300	43633
1062	43.67200	43672
1063	43.71000	43710
1064	43.74800	43748
1065	43.78700	43787
1066	43.82500	43825
1067	43.86300	43863
1068	43.90100	43901
1069	43.94000	43940
1070	43.97800	43978
1071	44.01600	44016
1072	44.05400	44054
1073	44.09200	44092
1074	44.13000	44130
1075	44.16900	44169
1076	44.20700	44207
1077	44.24500	44245
1078	44.28300	44283
1079	44.32100	44321
1080	44.35900	44359
1081	44.39700	44397
1082	44.43500	44435
1083	44.47300	44473
1084	44.51200	44512
1085	44.55000	44550
1086	44.58800	44588
1087	44.62600	44626
1088	44.66400	44664
1089	44.70200	44702
1090	44.74000	44740
1091	44.77800	44778
1092	44.81600	44816
1093	44.85300	44853
1094	44.89100	44891
1095	44.92900	44929
1096	44.96700	44967
1097	45.00500	45005
1098	45.04300	45043
1099	45.08100	45081
1100	45.11900	45119
1101	45.15700	45157
1102	45.19400	45194
1103	45.23200	45232
1104	45.27000	45270
1105	45.30800	45308
1106	45.34600	45346
1107	45.38300	45383
1108	45.42100	45421
1109	45.45900	45459
1110	45.49700	45497
1111	45.53400	45534
1112	45.57200	45572
1113	45.61000	45610
1114	45.64700	45647
1115	45.68500	45685
1116	45.72300	45723
1117	45.76000	45760
1118	45.79800	45798
1119	45.83600	45836
1120	45.87300	45873
1121	45.91100	45911
1122	45.94800	45948
1123	45.98600	45986
1124	46.02400	46024
1125	46.06100	46061
1126	46.09900	46099
1127	46.13600	46136
1128	46.17400	46174
1129	46.21100	46211
1130	46.24900	46249
1131	46.28600	46286
1132	46.32400	46324
1133	46.36100	46361
1134	46.39800	46398
1135	46.43600	46436
1136	46.47300	46473
1137	46.51100	46511
1138	46.54800	46548
1139	46.58500	46585
1140	46.62300	46623
1141	46.66000	46660
1142	46.69700	46697
1143	46.73500	46735
1144	46.77200	46772
1145	46.80900	46809
1146	46.84700	46847
1147	46.88400	46884
1148	46.92100	46921
1149	46.95800	46958
1150	46.99500	46995
1151	47.03300	47033
1152	47.07000	47070
1153	47.10700	47107
1154	47.14400	47144
1155	47.18100	47181
1156	47.21800	47218
1157	47.25600	47256
1158	47.29300	47293
1159	47.33000	47330
1160	47.36700	47367
1161	47.40400	47404
1162	47.44100	47441
1163	47.47800	47478
1164	47.51500	47515
1165	47.55200	47552
1166	47.58900	47589
1167	47.62600	47626
1168	47.66300	47663
1169	47.70000	47700
1170	47.73700	47737
1171	47.77400	47774
1172	47.81100	47811
1173	47.84800	47848
1174	47.88400	47884
1175	47.92100	47921
1176	47.95800	47958
1177	47.99500	47995
1178	48.03200	48032
1179	48.06900	48069
1180	48.10500	48105
1181	48.14200	48142
1182	48.17900	48179
1183	48.21600	48216
1184	48.25200	48252
1185	48.28900	48289
1186	48.32600	48326
1187	48.36300	48363
1188	48.39900	48399
1189	48.43600	48436
1190	48.47300	48473
1191	48.50900	48509
1192	48.54600	48546
1193	48.58200	48582
1194	48.61900	48619
1195	48.65600	48656
1196	48.69200	48692
1197	48.72900	48729
1198	48.76500	48765
1199	48.80200	48802
1200	48.83800	48838
1201	48.87500	48875
1202	48.91100	48911
1203	48.94800	48948
1204	48.98400	48984
1205	49.02100	49021
1206	49.05700	49057
1207	49.09300	49093
1208	49.13000	49130
1209	49.16600	49166
1210	49.20200	49202
1211	49.23900	49239
1212	49.27500	49275
1213	49.31100	49311
1214	49.34800	49348
1215	49.38400	49384
1216	49.42000	49420
1217	49.45600	49456
1218	49.49300	49493
1219	49.52900	49529
1220	49.56500	49565
1221	49.60100	49601
1222	49.63700	49637
1223	49.67400	49674
1224	49.71000	49710
1225	49.74600	49746
1226	49.78200	49782
1227	49.81800	49818
1228	49.85400	49854
1229	49.89000	49890
1230	49.92600	49926
1231	49.96200	49962
1232	49.99800	49998
1233	50.03400	50034
1234	50.07000	50070
1235	50.10600	50106
1236	50.14200	50142
1237	50.17800	50178
1238	50.21400	50214
1239	50.25000	50250
1240	50.28600	50286
1241	50.32200	50322
1242	50.35800	50358
1243	50.39300	50393
1244	50.42900	50429
1245	50.46500	50465
1246	50.50100	50501
1247	50.53700	50537
1248	50.57200	50572
1249	50.60800	50608
1250	50.64400	50644
1251	50.68000	50680
1252	50.71500	50715
1253	50.75100	50751
1254	50.78700	50787
1255	50.82200	50822
1256	50.85800	50858
1257	50.89400	50894
1258	50.92900	50929
1259	50.96500	50965
1260	51.00000	51000
1261	51.03600	51036
1262	51.07100	51071
1263	51.10700	51107
1264	51.14200	51142
1265	51.17800	51178
1266	51.21300	51213
1267	51.24900	51249
1268	51.28400	51284
1269	51.32000	51320
1270	51.35500	51355
1271	51.39100	51391
1272	51.42600	51426
1273	51.46100	51461
1274	51.49700	51497
1275	51.53200	51532
1276	51.56700	51567
1277	51.60300	51603
1278	51.63800	51638
1279	51.67300	51673
1280	51.70800	51708
1281	51.74400	51744
1282	51.77900	51779
1283	51.81400	51814
1284	51.84900	51849
1285	51.88500	51885
1286	51.92000	51920
1287	51.95500	51955
1288	51.99000	51990
1289	52.02500	52025
1290	52.06000	52060
1291	52.09500	52095
1292	52.13000	52130
1293	52.16500	52165
1294	52.20000	52200
1295	52.23500	52235
1296	52.27000	52270
1297	52.30500	52305
1298	52.34000	52340
1299	52.37500	52375
1300	52.41000	52410
1301	52.44500	52445
1302	52.48000	52480
1303	52.51500	52515
1304	52.55000	52550
1305	52.58500	52585
1306	52.62000	52620
1307	52.65400	52654
1308	52.68900	52689
1309	52.72400	52724
1310	52.75900	52759
1311	52.79400	52794
1312	52.82800	52828
1313	52.86300	52863
1314	52.89800	52898
1315	52.93200	52932
1316	52.96700	52967
1317	53.00200	53002
1318	53.03700	53037
1319	53.07100	53071
1320	53.10600	53106
1321	53.14000	53140
1322	53.17500	53175
1323	53.21000	53210
1324	53.24400	53244
1325	53.27900	53279
1326	53.31300	53313
1327	53.34800	53348
1328	53.38200	53382
1329	53.41700	53417
1330	53.45100	53451
1331	53.48600	53486
1332	53.52000	53520
1333	53.55500	53555
1334	53.58900	53589
1335	53.62300	53623
1336	53.65800	53658
1337	53.69200	53692
1338	53.72700	53727
1339	53.76100	53761
1340	53.79500	53795
1341	53.83000	53830
1342	53.86400	53864
1343	53.89800	53898
1344	53.93200	53932
1345	53.96700	53967
1346	54.00100	54001
1347	54.03500	54035
1348	54.06900	54069
1349	54.10400	54104
1350	54.13800	54138
1351	54.17200	54172
1352	54.20600	54206
1353	54.24000	54240
1354	54.27400	54274
1355	54.30800	54308
1356	54.34300	54343
1357	54.37700	54377
